file,N,loadtype_code,loadtype,g_val,k_val,n_points,span,depth,shallow_flag,best_fit,decisive,catenary_r2,catenary_aic,catenary_bic,parabolic_r2,parabolic_aic,parabolic_bic,elliptical_r2,elliptical_aic,elliptical_bic
arch_run12_0_g-0.1_k10.0.csv,12,0,uniform,-0.1,10,13,9.9999,1.9743,FALSE,elliptical,TRUE,1,-178.342,-176.647,0.99987,-119.844,-118.149,1,-219.767,-217.507
arch_run12_0_g-0.1_k25.0.csv,12,0,uniform,-0.1,25,13,9.9998,1.4265,TRUE,elliptical,TRUE,1,-217.562,-215.867,0.99996,-142.631,-140.936,1,-259.067,-256.808
arch_run12_0_g-0.1_k50.0.csv,12,0,uniform,-0.1,50,13,9.9997,1.1231,TRUE,elliptical,TRUE,1,-247.279,-245.584,0.99998,-160.154,-158.459,1,-289.036,-286.776
arch_run12_0_g-0.3_k10.0.csv,12,0,uniform,-0.3,10,13,9.9997,2.993,FALSE,elliptical,TRUE,0.99998,-131.664,-129.969,0.99955,-93.326,-91.631,1,-173.257,-170.997
arch_run12_0_g-0.3_k25.0.csv,12,0,uniform,-0.3,25,13,9.9996,2.1102,FALSE,elliptical,TRUE,1,-170.558,-168.863,0.99983,-115.369,-113.675,1,-211.973,-209.713
arch_run12_0_g-0.3_k50.0.csv,12,0,uniform,-0.3,50,13,9.9995,1.6448,FALSE,elliptical,TRUE,1,-200.136,-198.441,0.99993,-132.474,-130.779,1,-241.645,-239.385
arch_run12_0_g-0.5_k10.0.csv,12,0,uniform,-0.5,10,13,9.9996,3.6981,FALSE,elliptical,TRUE,0.99992,-110.107,-108.413,0.99926,-81.363,-79.669,1,-152.139,-149.88
arch_run12_0_g-0.5_k25.0.csv,12,0,uniform,-0.5,25,13,9.9994,2.5547,FALSE,elliptical,TRUE,0.99999,-148.837,-147.142,0.99971,-102.988,-101.293,1,-190.282,-188.022
arch_run12_0_g-0.5_k50.0.csv,12,0,uniform,-0.5,50,13,9.9993,1.9747,FALSE,elliptical,TRUE,1,-178.351,-176.657,0.99987,-119.826,-118.131,1,-219.735,-217.476
arch_run12_0_g-0.7_k10.0.csv,12,0,uniform,-0.7,10,13,9.9996,4.2927,FALSE,elliptical,TRUE,0.99982,-95.967,-94.272,0.999,-73.625,-71.93,0.99999,-138.53,-136.271
